,Unnamed: 0.1,Unnamed: 0,Timestamp,Username,VideoID,Comment,Likes,Sentiment,Sentiment_category
64,64,70,2023-05-05,@NalediBunguMolat,4MVHi96NZls,understand people hate perfect everything perfect skinbody even worst outfit respects,5.0,0.04999999999999999,Neutral
65,65,71,2023-04-23,@jenniy7557,4MVHi96NZls,get vote fraudulent voting machines thrown,1.0,0.0,Neutral
66,66,73,2023-04-12,@rosegamer188,4MVHi96NZls,thanks beiber goose lays golden eggs papas knows jb great,0.0,0.43333333333333335,Positive
67,67,74,2023-04-09,@gabriellaroe212,4MVHi96NZls,selener,0.0,0.0,Neutral
68,68,76,2023-04-07,@userunknowns,4MVHi96NZls,love aura much love looks classy,3.0,0.3666666666666667,Positive
69,69,77,2023-04-05,@CriMar-bk7vg,4MVHi96NZls,look soo geogeoues outfit wow wow wow love,1.0,0.2,Positive
70,70,78,2023-04-03,@muskan6668,4MVHi96NZls,ok one trolling hailey beiber calling saint laurent saent lorent,1.0,0.5,Strongly Positive
71,71,79,2023-04-03,@crazybaby1722,4MVHi96NZls,many times watched yes,12.0,0.5,Strongly Positive
72,72,80,2023-04-01,@poorwasawant5352,4MVHi96NZls,love,3.0,0.5,Strongly Positive
73,73,81,2023-03-31,@uchihaid4842,4MVHi96NZls,hate love herhailey always fashion inspo,52.0,-0.15000000000000002,Negative
74,74,82,2023-03-29,@punpun5888,4MVHi96NZls,best dressed woman years mean really know stylist look always amazing even kendall like,46.0,0.371875,Positive
75,75,83,2023-03-28,@nargizarozmetova31,4MVHi96NZls,like style much,3.0,0.2,Positive
76,76,84,2023-03-25,@someday535,4MVHi96NZls,best style cool wife,5.0,0.675,Strongly Positive
77,77,85,2023-03-24,@mathildeottele1320,4MVHi96NZls,ootd blessed,1.0,0.0,Neutral
78,78,86,2023-03-19,@cambelasben,4MVHi96NZls,beautiful really,4.0,0.525,Strongly Positive
79,79,87,2023-03-19,@burthesse5460,4MVHi96NZls,selena fan,2.0,0.0,Neutral
80,80,88,2023-03-18,@yeemonthu5544,4MVHi96NZls,love chill smart,4.0,0.35714285714285715,Positive
81,81,89,2023-03-16,@yna8627,4MVHi96NZls,sad cause seems people always judge every single thing,6.0,-0.2857142857142857,Negative
82,82,90,2023-03-16,@yna8627,4MVHi96NZls,miss hailey vogue,3.0,0.0,Neutral
83,83,91,2023-03-14,@valm.0,4MVHi96NZls,iconic nobody beat street style,84.0,0.5,Strongly Positive
84,84,92,2023-03-09,@aerialwinston9932,4MVHi96NZls,visions lie vogue model black slip better currwnt issue shoe skateboard,0.0,0.16666666666666669,Positive
85,85,93,2023-03-09,@aerialwinston9932,4MVHi96NZls,ha try keep career going represent use men cheapie voice abuse love pokie bieber,0.0,0.5,Strongly Positive
86,86,94,2023-03-09,@nyugore6681,4MVHi96NZls,definitely picked tips inspiration hailey,5.0,0.0,Neutral
87,87,95,2023-03-09,@nyugore6681,4MVHi96NZls,hailey dream girl,2.0,0.0,Neutral
88,88,96,2023-03-09,@minniepinkies3116,4MVHi96NZls,wow actually wears brands afford,0.0,0.05,Neutral
89,89,97,2023-02-27,@oneday7574,4MVHi96NZls,cutest voice hope thats creepy voice super girly nice listen,5.0,0.14444444444444443,Positive
90,90,99,2023-02-20,@yandasart2337,4MVHi96NZls,dream ms bieber,0.0,0.0,Neutral
91,91,101,2023-02-03,@ashbash3783,4MVHi96NZls,dullest woman alive,0.0,0.1,Positive
92,92,102,2023-02-12,@rajl2632,4MVHi96NZls,ok,0.0,0.5,Strongly Positive
93,93,103,2023-01-26,@nisaakarabatak9326,4MVHi96NZls,people wonder doesnt like shoes house let tell hes canadian ever go house shoes,1.0,0.0,Neutral
94,94,104,2023-03-04,@ClaraWeirdoMiss,4MVHi96NZls,especially winter hahaha,0.0,0.1,Positive
95,95,106,2023-01-18,@RapidObsessor,4MVHi96NZls,ok nice see someone vogue whos miles underweight looks fantastic,3.0,0.5,Strongly Positive
96,96,107,2023-01-14,@bethelle9099,4MVHi96NZls,lovely doesnt matter wears,5.0,0.5,Strongly Positive
97,97,108,2023-01-10,@alexpehi-littleton5747,4MVHi96NZls,exactly perfect,1.0,1.0,Strongly Positive
98,98,109,2023-01-06,@carolinasaez8727,4MVHi96NZls,love simply elegant time,9.0,0.5,Strongly Positive
99,99,110,2022-12-31,@Priyanka-cl8si,4MVHi96NZls,going try casual saturday look today love fashion sense,2.0,-5.551115123125783e-17,Neutral
100,100,111,2022-12-28,@makeup0rn413,4MVHi96NZls,ah wearing nanushka hungarian brand,3.0,0.0,Neutral
101,101,112,2022-12-28,@lunan5197,4MVHi96NZls,crazy think nadine byrd,0.0,-0.6,Strongly Negative
102,102,113,2022-12-27,@martinalandova6555,4MVHi96NZls,got blue one,0.0,0.0,Neutral
103,103,114,2022-12-27,@Ohkeh640,4MVHi96NZls,love air force,0.0,0.5,Strongly Positive
104,104,116,2022-12-18,@aeshniyadav8435,4MVHi96NZls,sunday look bilkul sarojini ka vala lg rha,0.0,0.0,Neutral
105,105,117,2022-12-13,@Trustyzaney,4MVHi96NZls,really super girly stylish looks doable relatable choose lot layers could see wearing outfits tried,30.0,0.41666666666666663,Positive
106,106,119,2022-12-09,@aneialter,4MVHi96NZls,professional,2.0,0.1,Positive
107,107,120,2022-12-09,@muffinister,4MVHi96NZls,shoes da house ftw,0.0,0.0,Neutral
108,108,121,2022-12-01,@FBundy739,4MVHi96NZls,personally wouldbe matched red hoodie chicago dunks,0.0,0.0,Neutral
109,109,122,2022-12-01,@FBundy739,4MVHi96NZls,coat,0.0,0.0,Neutral
110,110,123,2022-11-30,@Karolina-dr8du,4MVHi96NZls,love style comfy stylish rewears pieces recreated cheaper,6.0,0.5,Strongly Positive
111,111,124,2022-11-27,@backups2542,4MVHi96NZls,looks terrible,0.0,-1.0,Strongly Negative
112,112,125,2022-11-22,@RONNIELA400,4MVHi96NZls,fact repeats makes fly,4.0,0.8,Strongly Positive
