,Unnamed: 0.1,Unnamed: 0,createTimeISO,Likes,text,uniqueId,videoWebUrl,Sentiment,Sentiment_category
100,100,117,2024-08-02,1,dang got spicy marg,shxyaanne,https://www.tiktok.com/@rhode/video/7398218065583885599,0.0,Neutral
101,101,118,2024-08-02,1,please restock thr mauve duo,erinerinerineriner,https://www.tiktok.com/@rhode/video/7398218065583885599,0.0,Neutral
102,102,119,2024-08-01,15,petition make sprinkle permanent,brooke.dee,https://www.tiktok.com/@rhode/video/7398218065583885599,0.0,Neutral
103,103,120,2024-08-02,1,wait mine,janieee31,https://www.tiktok.com/@rhode/video/7398218065583885599,0.0,Neutral
104,104,121,2024-08-02,1,bring back bring back please,cl444ire,https://www.tiktok.com/@rhode/video/7398218065583885599,0.0,Neutral
105,105,122,2024-08-02,1,woke already sold,_bihhhhh,https://www.tiktok.com/@rhode/video/7398218065583885599,0.0,Neutral
106,106,123,2024-08-02,1,got mine hehe,taylorhartmann_hair,https://www.tiktok.com/@rhode/video/7398218065583885599,0.0,Neutral
107,107,124,2024-08-02,1,literally bought middle orthoist appointment needed get went stock,inessaakin,https://www.tiktok.com/@rhode/video/7398218065583885599,0.0,Neutral
108,108,126,2024-08-01,1,got one,barbara_castillo19,https://www.tiktok.com/@rhode/video/7398218065583885599,0.0,Neutral
109,109,127,2024-08-01,304,rhode need jellybean,brookie_2011,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
110,110,128,2024-07-31,976,jelly bean lip tint last year would match spinkle perfectly duo saying,cassie.hhh,https://www.tiktok.com/@rhode/video/7397947439979810078,0.5,Strongly Positive
111,111,129,2024-07-31,407,please restock jelly bean,sofiarosvi,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
112,112,130,2024-08-01,53,rhode need jelly bean back,kenzief60,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
113,113,131,2024-08-01,63,jellybean strawberry glaze,peymski,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
114,114,132,2024-08-01,4,rhode money,xoxochloe_08,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
115,115,133,2024-08-01,83,jellybeans turn,baby.dolliee,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
116,116,134,2024-08-01,17,want jellybean back,itsleora24,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
117,117,135,2024-08-01,27,bringing back jellybean would criminal point,electripinkcowgirl,https://www.tiktok.com/@rhode/video/7397947439979810078,-0.2,Negative
118,118,136,2024-08-01,65,love rhode marketing,yodeebs,https://www.tiktok.com/@rhode/video/7397947439979810078,0.5,Strongly Positive
119,119,137,2024-08-01,1,bookie better hop thiss kalyn terrell,skyelercamille1,https://www.tiktok.com/@rhode/video/7397947439979810078,0.5,Strongly Positive
120,120,138,2024-08-01,45,jellybean plz,victoria20247,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
121,121,139,2024-08-01,31,jellybean please,reemas_s3,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
122,122,140,2024-08-01,25,bring back jellybean plz,banana_albooty,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
123,123,141,2024-08-01,8,jellybean pls,sho13ppl,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
124,124,142,2024-08-01,114,restock jellybean,jyliannaperez,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
125,125,143,2024-08-01,25,crying thought comeback jellybean,royasoartsy,https://www.tiktok.com/@rhode/video/7397947439979810078,-0.2,Negative
126,126,145,2024-08-01,37,jelly bean strawberry peptide next rhode skin,mindurbusinessz,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
127,127,146,2024-08-01,62,bring jelly bean back,andreareneel,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
128,128,147,2024-08-01,17,please restock jellybean,taysirfarah,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
129,129,148,2024-08-01,6,need jellybean please,tsworldenjoy,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
130,130,150,2024-08-01,9,jellybean,pattysanch3z,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
131,131,151,2024-08-01,18,jelly bean pls thanks,dyllanlchukes,https://www.tiktok.com/@rhode/video/7397947439979810078,0.2,Positive
132,132,153,2024-08-01,3,rhode beg please bring back jelly bean ill buy eighty,sarina102811,https://www.tiktok.com/@rhode/video/7397947439979810078,-0.25,Negative
133,133,155,2024-08-01,5,restock jelly bean,bhadbhhabbiiie,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
134,134,156,2024-07-31,33,part marketing team,thilicia.singh,https://www.tiktok.com/@rhode/video/7397947439979810078,0.0,Neutral
135,135,157,2024-08-02,114,please limited edition color thing ive wanted rhode,rchahal777,https://www.tiktok.com/@rhode/video/7398205326908001566,-0.07142857142857142,Neutral
136,136,158,2024-08-01,343,ive waiting sold,van.veronica,https://www.tiktok.com/@rhode/video/7398205326908001566,0.0,Neutral
137,137,159,2024-08-01,268,already sold min,monikacordovaa,https://www.tiktok.com/@rhode/video/7398205326908001566,0.0,Neutral
138,138,160,2024-08-01,14,pls restock make permanent,haniya_ahsan,https://www.tiktok.com/@rhode/video/7398205326908001566,0.0,Neutral
139,139,161,2024-08-01,145,idk got,yagirlfanfan,https://www.tiktok.com/@rhode/video/7398205326908001566,0.0,Neutral
140,140,162,2024-08-01,15,sold already,colorsoflifewithfakiha,https://www.tiktok.com/@rhode/video/7398205326908001566,0.0,Neutral
141,141,163,2024-08-01,58,pls restock need like limited edition forever,joyilvu,https://www.tiktok.com/@rhode/video/7398205326908001566,-0.07142857142857142,Neutral
142,142,164,2024-08-01,21,please need permanently,miaardgs,https://www.tiktok.com/@rhode/video/7398205326908001566,0.0,Neutral
143,143,165,2024-08-01,38,going consider restocking,emeraldsimply,https://www.tiktok.com/@rhode/video/7398205326908001566,0.0,Neutral
144,144,166,2024-08-01,15,sold please put,michaela_griffiths,https://www.tiktok.com/@rhode/video/7398205326908001566,0.0,Neutral
145,145,168,2024-08-01,10,sold less minutes,entowmbed,https://www.tiktok.com/@rhode/video/7398205326908001566,-0.16666666666666666,Negative
146,146,169,2024-08-01,20,coins taken,allypazz,https://www.tiktok.com/@rhode/video/7398205326908001566,0.0,Neutral
147,147,171,2024-08-01,19,ridiculous best selling yet still decide make limited edition,karlapmorales_,https://www.tiktok.com/@rhode/video/7398205326908001566,0.19841269841269846,Positive
148,148,172,2024-08-01,3,gon na cry missed,crochetandmatcha,https://www.tiktok.com/@rhode/video/7398205326908001566,0.0,Neutral
149,149,173,2024-08-01,3,sad late,larissa.martinez1,https://www.tiktok.com/@rhode/video/7398205326908001566,-0.4,Negative
150,150,174,2024-08-01,6,idk whether buy,aerielduran,https://www.tiktok.com/@rhode/video/7398205326908001566,0.0,Neutral
151,151,175,2024-08-01,6,realized minutes past got email panicked thinking would sold managed get one,13jennygarcia,https://www.tiktok.com/@rhode/video/7398205326908001566,-0.25,Negative
152,152,177,2024-08-01,2,fact waiting blush shade moment check cart minutes later receive email order cancelled ridiculous ive huge fan rhode,rubijahawa,https://www.tiktok.com/@rhode/video/7398205326908001566,0.022222222222222254,Neutral
153,153,178,2024-08-01,4,missed,912archive,https://www.tiktok.com/@rhode/video/7398205326908001566,0.0,Neutral
154,154,179,2024-08-01,2,even hungover managed get idea,biancadbeltran,https://www.tiktok.com/@rhode/video/7398205326908001566,0.0,Neutral
155,155,180,2024-08-01,2,please bring back,rose_zaz,https://www.tiktok.com/@rhode/video/7398205326908001566,0.0,Neutral
156,156,181,2024-08-01,2,make permanent please,gerystoyanova,https://www.tiktok.com/@rhode/video/7398205326908001566,0.0,Neutral
157,157,183,2024-08-01,2,hailey theyre sold,oreosoggy,https://www.tiktok.com/@rhode/video/7398205326908001566,0.0,Neutral
158,158,184,2024-08-01,3,sound literally bc sold could check,cindy_liz,https://www.tiktok.com/@rhode/video/7398205326908001566,0.4,Positive
159,159,185,2024-08-01,3,got excited,heavenmoonm,https://www.tiktok.com/@rhode/video/7398205326908001566,0.375,Positive
160,160,187,2024-08-01,1,noo thats fair wasnt able get one,diiiannnnaaaa1,https://www.tiktok.com/@rhode/video/7398207245034523935,0.6,Strongly Positive
161,161,189,2024-07-31,183,restock salty tan,euceren,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
162,162,190,2024-07-31,13,please restock salty tan,lysssaa_16,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
163,163,191,2024-07-31,64,salty tan toast wishlist,totallynotmel5,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
164,164,192,2024-08-03,11,please ship country,its.not.laya1,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
165,165,193,2024-07-31,7,ad salty tan website plz,_raip,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
166,166,195,2024-08-01,1,restock watermelon lip treatment begging,syd_thekidd7,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
167,167,196,2024-08-02,1,raspberry jelly goated,gabrielaxgissel,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
168,168,197,2024-08-01,1,pls make scented,lexi.popkin,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
169,169,198,2024-07-31,3,hailey bieber hailey love much love lip glosses theres good,grace.martinez96,https://www.tiktok.com/@rhode/video/7397666982872517919,0.5666666666666667,Strongly Positive
170,170,201,2024-08-01,2,peach pit ribbon,lord_bentley_corbark,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
171,171,202,2024-07-31,8,want one,julianamorn,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
172,172,204,2024-07-31,2,got salty tan sleepy girl blush love want espresso ribbon,rituuu19,https://www.tiktok.com/@rhode/video/7397666982872517919,0.5,Strongly Positive
173,173,205,2024-08-03,1,please ship australia,maitilda,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
174,174,206,2024-07-31,2,need sephora,whotfiszeta,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
175,175,207,2024-08-03,1,restock salty tan please,4linj_,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
176,176,209,2024-07-31,2,aesthetic need one,vivacunningham3,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
177,177,210,2024-07-31,1,finally getting one ribbon birthday wait,xtallulahsecretacc1,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
178,178,212,2024-08-02,0,salty tantoast espresso love,prwttiest26,https://www.tiktok.com/@rhode/video/7397666982872517919,0.5,Strongly Positive
179,179,213,2024-08-01,0,need everything brand love love love,mia.ria7,https://www.tiktok.com/@rhode/video/7397666982872517919,0.5,Strongly Positive
180,180,214,2024-08-05,0,ughh need,userrgtrkbuh6k,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
181,181,215,2024-08-05,0,guava spritzespressopeach pitraspberry jelly fav shades,mahmoaoma08,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
182,182,216,2024-08-01,0,bought,jasper_boyd,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
183,183,217,2024-08-02,0,give one,aygulflow,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
184,184,218,2024-07-31,0,guava spritz fav,sonakaz,https://www.tiktok.com/@rhode/video/7397666982872517919,0.0,Neutral
185,185,219,2024-07-31,13,need rhode mexico,krn_os,https://www.tiktok.com/@rhode/video/7397829701697424671,0.0,Neutral
186,186,220,2024-07-31,4,live laugh live rhode,womanspeakstok,https://www.tiktok.com/@rhode/video/7397829701697424671,0.19090909090909092,Positive
187,187,221,2024-07-31,5,rhode moisturizer good acne prone skin thinking trying bc products really good little hesitant one,vsangelxox,https://www.tiktok.com/@rhode/video/7397829701697424671,0.4041666666666666,Positive
188,188,222,2024-07-31,3,wan na try bad,futuremrswhite,https://www.tiktok.com/@rhode/video/7397829701697424671,-0.44999999999999996,Negative
189,189,223,2024-07-31,3,wish could get gift,nurseblessingegoye,https://www.tiktok.com/@rhode/video/7397829701697424671,0.0,Neutral
190,190,224,2024-07-31,1,first,moni_poni10,https://www.tiktok.com/@rhode/video/7397829701697424671,0.25,Positive
191,191,225,2024-07-31,1,get pr,journalstars15,https://www.tiktok.com/@rhode/video/7397829701697424671,0.0,Neutral
192,192,226,2024-08-05,0,need glazing milk chefs kiss,thejans_review,https://www.tiktok.com/@rhode/video/7397829701697424671,0.0,Neutral
193,193,227,2024-08-04,0,wants one really badly,beautybeyondbasics1,https://www.tiktok.com/@rhode/video/7397829701697424671,-0.24999999999999992,Negative
