,collectCount,commentCount,createTimeISO,likes,mentions0,mentions1,playCount,shareCount,text,videoMeta/duration,videoMeta/format
77,121,36,2024-07-08T16:04:30.000Z,2027,@Jasmine,,60000,48,sweet dreams tookes wears pocket blush shade sleepy girl,17,mp4
78,290,85,2024-07-08T00:38:46.000Z,5799,,,115700,69,fresh press,0,
79,302,47,2024-07-07T19:36:16.000Z,3555,@Freya,,88000,131,tidy layers pocket blush shades toasted teddy sleepy girl finishing touches lip tint shade salty tan,14,mp4
80,1521,142,2024-07-07T16:11:27.000Z,40000,@Kylie,,622500,325,jenner wears pocket blush shade freckle,59,mp4
81,2332,510,2024-07-06T19:11:41.000Z,60100,,,1100000,978,hb go pocket blush shade sprinkle lip tint shade peach pit,29,mp4
82,158,44,2024-07-06T16:34:35.000Z,2517,@Ria✨🧚🏾‍♀️✨,,68000,36,‍ coral duo spicy marg guava spritz,16,mp4
83,207,48,2024-07-05T23:15:18.000Z,2254,@vanessanicolestern,,73800,101,swatches six shades pocket blush available rhodeskincom,60,mp4
84,645,70,2024-07-05T19:38:59.000Z,14100,@Bella,,207000,314,lip tint shade peach pit,14,mp4
85,115,45,2024-07-05T16:11:29.000Z,2421,,,62000,49,bye bye nyc treat bring pocket sized pop thank much everyone came support excitement mean world us,48,mp4
86,92,44,2024-07-04T19:51:29.000Z,2051,@suni,,75200,28,get ready wearing pocket blush shade piggy lip tint shade salty tan,25,mp4
87,237,34,2024-07-04T19:08:03.000Z,2381,@Drea,,75300,55,mauve duo touch piggy 6 shades pocket blush back available individually set six blush tint duo rhodeskincom,45,mp4
88,151,47,2024-07-04T17:13:31.000Z,2889,@RUBY,,75300,56,little flush go  wears pocket blush spicy marg,14,mp4
89,116,39,2024-07-04T16:10:20.000Z,1970,,,54500,62,spicy marg summer,10,mp4
90,60,30,2024-07-04T03:28:53.000Z,1786,@Kensington,,60900,19,came visit,87,mp4
91,289,31,2024-07-04T02:57:08.000Z,3476,@Olivia,,89300,116,pink duo piggy shortcake chatfield 6 shades pocket blush back available individually set six blush tint duo rhodeskincom,14,mp4
92,1105,726,2024-07-03T22:49:44.000Z,44000,,,477700,237,today final day pocket sized pop nyc thank much everyone came support excitement mean world us love hb team rhode,60,mp4
93,695,36,2024-07-03T20:27:41.000Z,7323,@nalilychav,,131700,235,blush tint duos duo combines paired shade pocket blush limited edition summer lip tint wear together juicy monochromatic look rhodeskincom,14,mp4
94,225,40,2024-07-03T17:16:18.000Z,2029,@nicoletaveras,,58500,111,gets flushed six shades pocket blush back including piggy freckle sleepy girl available individually set six,63,mp4
95,179,79,2024-07-03T16:29:24.000Z,5359,,,64300,143,today final day pocket sized pop nyc come get rhode summer essentials 127 greene st new york ny 11am 7pm,34,mp4
96,116,25,2024-07-03T04:32:43.000Z,2051,@sophiaculpo,,58300,8,wedding day skincare prep uses pineapple refresh cleanser glazing milk,76,mp4
97,110,32,2024-07-03T01:59:43.000Z,1921,@abelyn,,58800,63,pocket blush go wears shade juice box,14,mp4
98,102,14,2024-07-02T22:09:10.000Z,998,,,43100,12,little tangy elsa wears pocket blush shade spicy marg,0,
100,156,55,2024-07-02T17:08:29.000Z,3110,@Michaela,,63000,36,tries pocket blush shade sprinkle available nyc pop,10,mp4
101,389,85,2024-07-02T00:12:39.000Z,6803,@Bex,,137700,172,uses pocket blush shades toasted teddy spicy marg lip tint shade guava spritz,18,mp4
102,1325,219,2024-07-01T22:07:02.000Z,36900,@Hannah,@Hailey,442700,489,’ bacckkkk berner bieber,73,mp4
103,79,27,2024-07-01T19:13:15.000Z,2280,@haleigh,,59800,21,jade popped pocket sized pop,12,mp4
104,518,42,2024-07-01T17:54:34.000Z,9358,@Tao,,133200,90,go pocket blush shade spicy marg lip tint shade peach pit,17,mp4
105,145,41,2024-07-01T16:54:53.000Z,3560,,,65000,101,come nyc pop open wednesday thank love support far,0,
106,993,142,2024-06-30T18:31:39.000Z,38900,,,323300,394,little blush little cake,7,mp4
107,234,42,2024-06-30T17:00:46.000Z,3430,@evange,,71500,157,layers pocket blush shades toasted teddy juice box spicy marg finishing touches lip tint shade guava spritz,20,mp4
108,349,44,2024-06-30T16:04:00.000Z,3934,@ally,,80700,211,summer lip tint try,32,mp4
109,202,70,2024-06-29T19:22:11.000Z,4382,@Sophia,,87300,44,pocket sized pop haul giuffré,78,mp4
110,138,48,2024-06-29T17:45:40.000Z,3795,,,79300,44,first impressions pocket blush love feels super creamy blendable formula melts onto skin leaves satiny glowy finish looks like natural flush,50,mp4
111,261,47,2024-06-29T16:55:39.000Z,7645,,,95500,97,chalk postings around nyc come find us,9,mp4
112,90,42,2024-06-28T22:12:15.000Z,1407,,,59400,62,rhode sightings,4,mp4
113,355,46,2024-06-28T20:32:04.000Z,3032,@alysialoo,,66300,135,pocket blush try,142,mp4
114,106,51,2024-06-28T18:37:24.000Z,2600,,,55200,76,pocket sized pop open july 3rd 11am 7pm daily,24,mp4
115,143,61,2024-06-27T23:45:10.000Z,2193,@Samantha,,70000,142,match look lip case blush borges,12,mp4
117,238,62,2024-06-27T19:06:29.000Z,6797,@Meredith,,123200,108,little sunset look duxbury pocket blush,61,mp4
118,667,159,2024-06-26T20:59:24.000Z,19800,,,158000,413,rhode sightings around nyc,7,mp4
119,212,43,2024-06-26T20:01:52.000Z,6436,@sami,,83500,51,rhode night,10,mp4
120,1419,383,2024-06-26T17:07:33.000Z,27000,,,401200,1406,pocket blush shade sprinkle warm pearly pink shade pick nyc pop,11,mp4
121,63,52,2024-06-25T22:03:14.000Z,1902,@Chrissy,,91300,15,night nyc rutherford pop preview event,17,mp4
122,349,165,2024-06-25T20:30:03.000Z,10800,,,162900,142,hb wears pocket blush shade sprinkle warm pearly pink shade pick nyc pop,0,
123,191,107,2024-06-25T16:05:27.000Z,5401,,,102600,163,nyc blushing thank everyone stopped first day pocket sized pop,38,mp4
124,703,220,2024-06-24T20:32:13.000Z,26800,,,309600,282,last night nyc celebrating opening pocket sized pop,25,mp4
